NroTrx;sku;producto;cantidad;precio;subtotal;diasem;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice
P000132;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33847;96.7;Chrome;Windows;other
P000132;110601400016;Filete de Pechuga;1;30;30;Lun;33847;96.7;Chrome;Windows;other
P000132;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33847;96.7;Chrome;Windows;other
P000132;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33847;96.7;Chrome;Windows;other
P000133;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500005;Nuggets Premium;1;6;6;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33772;74.5;Chrome;Windows;other
P000133;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33772;74.5;Chrome;Windows;other
P000134;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33844;151;Facebook;Android;Moto
P000134;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33844;151;Facebook;Android;Moto
P000134;110601200016;Muslos Frescos;1;54;54;Lun;33844;151;Facebook;Android;Moto
P000134;110601400016;Filete de Pechuga;1;30;30;Lun;33844;151;Facebook;Android;Moto
P000135;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33849;178;Chrome;Windows;other
P000135;110601000027;Pollo Entero S/M;1;16;16;Lun;33849;178;Chrome;Windows;other
P000135;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33849;178;Chrome;Windows;other
P000135;110601200016;Muslos Frescos;1;54;54;Lun;33849;178;Chrome;Windows;other
P000135;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33849;178;Chrome;Windows;other
P000135;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33849;178;Chrome;Windows;other
P000136;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33820;71.8;Safari;Mac OS X;other
P000136;110603500013;Nuggets con Quinua;4;8.2;32.8;Lun;33820;71.8;Safari;Mac OS X;other
P000137;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33838;80;Chrome;Mac OS X;other
P000137;110603500005;Nuggets Premium;2;6;12;Lun;33838;80;Chrome;Mac OS X;other
P000137;110603700039;Enrollado con Frutas Secas;2;27.5;55;Lun;33838;80;Chrome;Mac OS X;other
P000138;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33852;51;Chrome;Windows;other
P000138;110601000027;Pollo Entero S/M;2;16;32;Lun;33852;51;Chrome;Windows;other
P000138;110603500005;Nuggets Premium;1;6;6;Lun;33852;51;Chrome;Windows;other
P000139;110501000031;Huevo Pardo Empacado;4;13;52;Lun;33846;68;Chrome;Windows;other
P000139;110601000027;Pollo Entero S/M;1;16;16;Lun;33846;68;Chrome;Windows;other
P000140;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33850;79.5;Chrome;Mac OS X;other
P000140;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33850;79.5;Chrome;Mac OS X;other
P000140;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33850;79.5;Chrome;Mac OS X;other
P000141;110601000027;Pollo Entero S/M;2;16;32;Lun;33772;54.4;Chrome;Windows;other
P000141;110603500005;Nuggets Premium;1;6;6;Lun;33772;54.4;Chrome;Windows;other
P000141;110603500013;Nuggets con Quinua;2;8.2;16.4;Lun;33772;54.4;Chrome;Windows;other
P000142;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33856;59.5;Mobile Safari;iOS;iPhone
P000142;110603500013;Nuggets con Quinua;2;8.2;16.4;Lun;33856;59.5;Mobile Safari;iOS;iPhone
P000142;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33856;59.5;Mobile Safari;iOS;iPhone
P000142;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33856;59.5;Mobile Safari;iOS;iPhone
P000143;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33840;99.2;Chrome Mobile;Android;other
P000143;110601000027;Pollo Entero S/M;1;16;16;Lun;33840;99.2;Chrome Mobile;Android;other
P000143;110601400016;Filete de Pechuga;1;30;30;Lun;33840;99.2;Chrome Mobile;Android;other
P000143;110603500005;Nuggets Premium;1;6;6;Lun;33840;99.2;Chrome Mobile;Android;other
P000143;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33840;99.2;Chrome Mobile;Android;other
P000144;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33861;100;Mobile Safari;iOS;iPhone
P000144;110601400016;Filete de Pechuga;2;30;60;Lun;33861;100;Mobile Safari;iOS;iPhone
P000144;110603500048;Filete a la Pimienta;2;13.5;27;Lun;33861;100;Mobile Safari;iOS;iPhone
P000145;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33858;146.8;Chrome;Windows;other
P000145;110601200016;Muslos Frescos;1;54;54;Lun;33858;146.8;Chrome;Windows;other
P000145;110601400016;Filete de Pechuga;2;30;60;Lun;33858;146.8;Chrome;Windows;other
P000145;110603500005;Nuggets Premium;2;6;12;Lun;33858;146.8;Chrome;Windows;other
P000145;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33858;146.8;Chrome;Windows;other
P000146;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33862;53.9;Mobile Safari;iOS;iPhone
P000146;110601000027;Pollo Entero S/M;1;16;16;Lun;33862;53.9;Mobile Safari;iOS;iPhone
P000146;110603700015;Hamburguesa Premium;3;8.3;24.9;Lun;33862;53.9;Mobile Safari;iOS;iPhone
P000147;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33763;127.3;Chrome;Windows;other
P000147;110601000027;Pollo Entero S/M;1;16;16;Lun;33763;127.3;Chrome;Windows;other
P000147;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33763;127.3;Chrome;Windows;other
P000147;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33763;127.3;Chrome;Windows;other
P000147;110603500005;Nuggets Premium;1;6;6;Lun;33763;127.3;Chrome;Windows;other
P000147;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33763;127.3;Chrome;Windows;other
P000147;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33763;127.3;Chrome;Windows;other
P000148;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33848;99;Mobile Safari;iOS;iPhone
P000148;110601400016;Filete de Pechuga;2;30;60;Lun;33848;99;Mobile Safari;iOS;iPhone
P000149;110601000027;Pollo Entero S/M;1;16;16;Lun;33866;61.6;Chrome;Windows;other
P000149;110601400016;Filete de Pechuga;1;30;30;Lun;33866;61.6;Chrome;Windows;other
P000149;110603500019;Deditos de Pollo;2;7.8;15.6;Lun;33866;61.6;Chrome;Windows;other
P000150;110601400016;Filete de Pechuga;1;30;30;Lun;33854;50.2;Mobile Safari;iOS;iPhone
P000150;110603500005;Nuggets Premium;2;6;12;Lun;33854;50.2;Mobile Safari;iOS;iPhone
P000150;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33854;50.2;Mobile Safari;iOS;iPhone
P000151;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33865;56.5;Mobile Safari;iOS;iPhone
P000151;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33865;56.5;Mobile Safari;iOS;iPhone
P000151;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33865;56.5;Mobile Safari;iOS;iPhone
P000151;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33865;56.5;Mobile Safari;iOS;iPhone
P000152;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33864;116;Mobile Safari;iOS;iPhone
P000152;110601400016;Filete de Pechuga;3;30;90;Lun;33864;116;Mobile Safari;iOS;iPhone
P000153;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33860;73;Chrome Mobile;Android;other
P000153;110601000027;Pollo Entero S/M;1;16;16;Lun;33860;73;Chrome Mobile;Android;other
P000153;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33860;73;Chrome Mobile;Android;other
P000153;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33860;73;Chrome Mobile;Android;other
P000154;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33859;134.8;Chrome;Windows;other
P000154;110601400016;Filete de Pechuga;2;30;60;Lun;33859;134.8;Chrome;Windows;other
P000154;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33859;134.8;Chrome;Windows;other
P000154;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33859;134.8;Chrome;Windows;other
P000154;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33859;134.8;Chrome;Windows;other
P000154;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33859;134.8;Chrome;Windows;other
P000155;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33863;110.7;Safari;Mac OS X;other
P000155;110601200006;Pollo trozado x 8 pzas S/M;3;16.5;49.5;Lun;33863;110.7;Safari;Mac OS X;other
P000155;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33863;110.7;Safari;Mac OS X;other
P000155;110603500049;Filete  a la Criolla;2;13.5;27;Lun;33863;110.7;Safari;Mac OS X;other
P000156;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33857;75;Chrome;Mac OS X;other
P000156;110601000027;Pollo Entero S/M;2;16;32;Lun;33857;75;Chrome;Mac OS X;other
P000156;110601400016;Filete de Pechuga;1;30;30;Lun;33857;75;Chrome;Mac OS X;other
P000157;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33871;95.1;Firefox;Windows;other
P000157;110601400016;Filete de Pechuga;2;30;60;Lun;33871;95.1;Firefox;Windows;other
P000157;110603500005;Nuggets Premium;1;6;6;Lun;33871;95.1;Firefox;Windows;other
P000157;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33871;95.1;Firefox;Windows;other
P000157;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33871;95.1;Firefox;Windows;other
P000158;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33878;59.4;Samsung Internet;Android;Samsung
P000158;110601400016;Filete de Pechuga;1;30;30;Lun;33878;59.4;Samsung Internet;Android;Samsung
P000158;110603500013;Nuggets con Quinua;2;8.2;16.4;Lun;33878;59.4;Samsung Internet;Android;Samsung
P000159;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33876;128;Chrome Mobile;Android;other
P000159;110601000027;Pollo Entero S/M;3;16;48;Lun;33876;128;Chrome Mobile;Android;other
P000159;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33876;128;Chrome Mobile;Android;other
P000160;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33872;99.5;Chrome;Windows;other
P000160;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33872;99.5;Chrome;Windows;other
P000160;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33872;99.5;Chrome;Windows;other
P000160;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33872;99.5;Chrome;Windows;other
P000161;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33879;59;Chrome;Windows;other
P000161;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33879;59;Chrome;Windows;other
P000162;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33884;55.5;Chrome Mobile;Android;other
P000162;110601400016;Filete de Pechuga;1;30;30;Lun;33884;55.5;Chrome Mobile;Android;other
P000162;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33884;55.5;Chrome Mobile;Android;other
P000163;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33880;116;Mobile Safari;iOS;iPhone
P000163;110601400016;Filete de Pechuga;3;30;90;Lun;33880;116;Mobile Safari;iOS;iPhone
P000164;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33812;116.4;Mobile Safari;iOS;iPhone
P000164;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33812;116.4;Mobile Safari;iOS;iPhone
P000164;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33812;116.4;Mobile Safari;iOS;iPhone
P000164;110603500013;Nuggets con Quinua;2;8.2;16.4;Lun;33812;116.4;Mobile Safari;iOS;iPhone
P000165;110601000027;Pollo Entero S/M;2;16;32;Lun;33883;50.5;Chrome Mobile;Android;other
P000165;110603500005;Nuggets Premium;1;6;6;Lun;33883;50.5;Chrome Mobile;Android;other
P000165;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33883;50.5;Chrome Mobile;Android;other
P000166;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33887;57.6;Chrome;Windows;other
P000166;110601000027;Pollo Entero S/M;1;16;16;Lun;33887;57.6;Chrome;Windows;other
P000166;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33887;57.6;Chrome;Windows;other
P000166;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33887;57.6;Chrome;Windows;other
P000166;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33887;57.6;Chrome;Windows;other
P000167;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33888;58.5;Chrome Mobile;Android;other
P000167;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33888;58.5;Chrome Mobile;Android;other
P000167;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33888;58.5;Chrome Mobile;Android;other
P000168;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33886;59.5;Chrome Mobile;Android;other
P000168;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33886;59.5;Chrome Mobile;Android;other
P000168;110601400016;Filete de Pechuga;1;30;30;Lun;33886;59.5;Chrome Mobile;Android;other
P000169;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33882;143;Chrome;Windows;other
P000169;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33882;143;Chrome;Windows;other
P000169;110601200016;Muslos Frescos;1;54;54;Lun;33882;143;Chrome;Windows;other
P000169;110601400016;Filete de Pechuga;1;30;30;Lun;33882;143;Chrome;Windows;other
P000170;110601200009;Pierna Encuentro Fresca;2;54;108;Lun;33877;198;Safari;Mac OS X;other
P000170;110601400016;Filete de Pechuga;3;30;90;Lun;33877;198;Safari;Mac OS X;other
P000171;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33893;67;Chrome;Windows;other
P000171;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33893;67;Chrome;Windows;other
P000172;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33890;76.7;Chrome Mobile;Android;other
P000172;110601400016;Filete de Pechuga;1;30;30;Lun;33890;76.7;Chrome Mobile;Android;other
P000172;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33890;76.7;Chrome Mobile;Android;other
P000172;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33890;76.7;Chrome Mobile;Android;other
P000173;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33894;333.5;Mobile Safari;iOS;iPhone
P000173;110601000027;Pollo Entero S/M;15;16;240;Lun;33894;333.5;Mobile Safari;iOS;iPhone
P000173;110603500049;Filete  a la Criolla;5;13.5;67.5;Lun;33894;333.5;Mobile Safari;iOS;iPhone
P000174;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33895;58;Chrome Mobile;Android;other
P000174;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33895;58;Chrome Mobile;Android;other
P000174;110603500005;Nuggets Premium;2;6;12;Lun;33895;58;Chrome Mobile;Android;other
P000175;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33891;107;Chrome;Android;other
P000175;110601000027;Pollo Entero S/M;2;16;32;Lun;33891;107;Chrome;Android;other
P000175;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33891;107;Chrome;Android;other
P000175;110601400016;Filete de Pechuga;1;30;30;Lun;33891;107;Chrome;Android;other
P000176;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33896;118.1;Mobile Safari;WKWebView;iOS
P000176;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33896;118.1;Mobile Safari;WKWebView;iOS
P000176;110601400016;Filete de Pechuga;1;30;30;Lun;33896;118.1;Mobile Safari;WKWebView;iOS
P000176;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33896;118.1;Mobile Safari;WKWebView;iOS
P000176;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33896;118.1;Mobile Safari;WKWebView;iOS
P000177;110603700015;Hamburguesa Premium;4;8.3;33.2;Lun;33898;60.7;Chrome;Windows;other
P000177;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33898;60.7;Chrome;Windows;other
P000178;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603500005;Nuggets Premium;1;6;6;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603500049;Filete  a la Criolla;1;13.5;13.5;Lun;33892;78.1;Chrome Mobile;Android;other
P000178;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33892;78.1;Chrome Mobile;Android;other
P000179;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33899;58;Chrome Mobile;Android;other
P000179;110601000027;Pollo Entero S/M;1;16;16;Lun;33899;58;Chrome Mobile;Android;other
P000179;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33899;58;Chrome Mobile;Android;other
P000179;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33899;58;Chrome Mobile;Android;other
P000180;110601000027;Pollo Entero S/M;4;16;64;Lun;33889;64;Chrome;Windows;other
P000181;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33900;97;Firefox;Windows;other
P000181;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33900;97;Firefox;Windows;other
P000181;110601400016;Filete de Pechuga;1;30;30;Lun;33900;97;Firefox;Windows;other
P000182;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33901;109.8;Chrome;Windows;other
P000182;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33901;109.8;Chrome;Windows;other
P000182;110601400016;Filete de Pechuga;2;30;60;Lun;33901;109.8;Chrome;Windows;other
P000182;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33901;109.8;Chrome;Windows;other
P000182;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33901;109.8;Chrome;Windows;other
P000183;110601000027;Pollo Entero S/M;4;16;64;Lun;33889;64;Chrome;Windows;other
P000184;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33906;75;Chrome;Mac OS X;other
P000184;110601000027;Pollo Entero S/M;2;16;32;Lun;33906;75;Chrome;Mac OS X;other
P000184;110601400016;Filete de Pechuga;1;30;30;Lun;33906;75;Chrome;Mac OS X;other
P000185;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33908;96;Chrome Mobile;Android;LG
P000185;110601000027;Pollo Entero S/M;1;16;16;Lun;33908;96;Chrome Mobile;Android;LG
P000185;110601400016;Filete de Pechuga;1;30;30;Lun;33908;96;Chrome Mobile;Android;LG
P000185;110603500005;Nuggets Premium;2;6;12;Lun;33908;96;Chrome Mobile;Android;LG
P000185;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33908;96;Chrome Mobile;Android;LG
P000186;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33909;66.8;Mobile Safari;iOS;iPhone
P000186;110601000027;Pollo Entero S/M;1;16;16;Lun;33909;66.8;Mobile Safari;iOS;iPhone
P000186;110601400016;Filete de Pechuga;1;30;30;Lun;33909;66.8;Mobile Safari;iOS;iPhone
P000186;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33909;66.8;Mobile Safari;iOS;iPhone
P000187;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110601000027;Pollo Entero S/M;1;16;16;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110601400016;Filete de Pechuga;1;30;30;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33902;137.3;Safari;Mac OS X;other
P000187;110603500048;Filete a la Pimienta;1;13.5;13.5;Lun;33902;137.3;Safari;Mac OS X;other
P000188;110501000031;Huevo Pardo Empacado;3;13;39;Lun;33912;126.5;Chrome;Windows;other
P000188;110601000027;Pollo Entero S/M;1;16;16;Lun;33912;126.5;Chrome;Windows;other
P000188;110601400015;Filete de Pechuga Corazon;1;32;32;Lun;33912;126.5;Chrome;Windows;other
P000188;110603500005;Nuggets Premium;2;6;12;Lun;33912;126.5;Chrome;Windows;other
P000188;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33912;126.5;Chrome;Windows;other
P000189;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33913;103.2;Chrome;Windows;other
P000189;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33913;103.2;Chrome;Windows;other
P000189;110603500019;Deditos de Pollo;2;7.8;15.6;Lun;33913;103.2;Chrome;Windows;other
P000189;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Lun;33913;103.2;Chrome;Windows;other
P000189;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33913;103.2;Chrome;Windows;other
P000190;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33914;113.6;Chrome;Windows;other
P000190;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33914;113.6;Chrome;Windows;other
P000190;110601400016;Filete de Pechuga;1;30;30;Lun;33914;113.6;Chrome;Windows;other
P000190;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33914;113.6;Chrome;Windows;other
P000191;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33905;61;Chrome Mobile;Android;other
P000191;110601000027;Pollo Entero S/M;3;16;48;Lun;33905;61;Chrome Mobile;Android;other
P000192;110501000031;Huevo Pardo Empacado;12;13;156;Lun;33916;1183.5;Safari;Mac OS X;other
P000192;110601200009;Pierna Encuentro Fresca;10;54;540;Lun;33916;1183.5;Safari;Mac OS X;other
P000192;110601400016;Filete de Pechuga;10;30;300;Lun;33916;1183.5;Safari;Mac OS X;other
P000192;110603500029;Chicharron de Pechuga de Pollo;15;12.5;187.5;Lun;33916;1183.5;Safari;Mac OS X;other
P000193;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33919;97;Chrome;Windows;other
P000193;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33919;97;Chrome;Windows;other
P000193;110601400016;Filete de Pechuga;1;30;30;Lun;33919;97;Chrome;Windows;other
P000194;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33922;102.6;Firefox;Windows;other
P000194;110601400016;Filete de Pechuga;2;30;60;Lun;33922;102.6;Firefox;Windows;other
P000194;110603700015;Hamburguesa Premium;2;8.3;16.6;Lun;33922;102.6;Firefox;Windows;other
P000195;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33921;63;Chrome Mobile;Android;other
P000195;110601400016;Filete de Pechuga;1;30;30;Lun;33921;63;Chrome Mobile;Android;other
P000196;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33928;59.1;Chrome;Mac OS X;other
P000196;110601400016;Filete de Pechuga;1;30;30;Lun;33928;59.1;Chrome;Mac OS X;other
P000196;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33928;59.1;Chrome;Mac OS X;other
P000196;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33928;59.1;Chrome;Mac OS X;other
P000197;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33931;53.8;Chrome;Windows;other
P000197;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Lun;33931;53.8;Chrome;Windows;other
P000197;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33931;53.8;Chrome;Windows;other
P000198;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33930;102.8;Facebook;iOS;iPhone
P000198;110601200009;Pierna Encuentro Fresca;1;54;54;Lun;33930;102.8;Facebook;iOS;iPhone
P000198;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33930;102.8;Facebook;iOS;iPhone
P000198;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33930;102.8;Facebook;iOS;iPhone
P000199;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33927;50.3;Mobile Safari;iOS;iPhone
P000199;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33927;50.3;Mobile Safari;iOS;iPhone
P000199;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33927;50.3;Mobile Safari;iOS;iPhone
P000200;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33926;75.3;Safari;Mac OS X;other
P000200;110601200016;Muslos Frescos;1;54;54;Lun;33926;75.3;Safari;Mac OS X;other
P000200;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33926;75.3;Safari;Mac OS X;other
P000201;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33933;58.5;Chrome;Mac OS X;other
P000201;110601000027;Pollo Entero S/M;1;16;16;Lun;33933;58.5;Chrome;Mac OS X;other
P000201;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33933;58.5;Chrome;Mac OS X;other
P000202;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33934;108.5;Chrome Mobile;Android;other
P000202;110601200006;Pollo trozado x 8 pzas S/M;5;16.5;82.5;Lun;33934;108.5;Chrome Mobile;Android;other
P000203;110601000027;Pollo Entero S/M;1;16;16;Lun;33932;63.8;Mobile Safari;iOS;iPhone
P000203;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33932;63.8;Mobile Safari;iOS;iPhone
P000203;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33932;63.8;Mobile Safari;iOS;iPhone
P000203;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Lun;33932;63.8;Mobile Safari;iOS;iPhone
P000204;110501000031;Huevo Pardo Empacado;2;13;26;Lun;33923;79.3;Chrome;Windows;other
P000204;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Lun;33923;79.3;Chrome;Windows;other
P000204;110603500013;Nuggets con Quinua;1;8.2;8.2;Lun;33923;79.3;Chrome;Windows;other
P000204;110603500019;Deditos de Pollo;1;7.8;7.8;Lun;33923;79.3;Chrome;Windows;other
P000204;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Lun;33923;79.3;Chrome;Windows;other
P000204;110603700015;Hamburguesa Premium;1;8.3;8.3;Lun;33923;79.3;Chrome;Windows;other
P000205;110501000031;Huevo Pardo Empacado;1;13;13;Lun;33935;80.3;Chrome;Windows;other
